orf_name,KO number
chr_3284,K04788
chr_3289,K04787
chr_3290,K12240
chr_3292,K12241
chr_3307,K03366
chr_3309,K16842
chr_3313,K01639
chr_3317,K00274
chr_3335,K01652
chr_3344,K11517
chr_3347,K01630
chr_3352,K01034
chr_3355,K02160
chr_3356,K01961
chr_3363,K09841
chr_3364,K14652
chr_3382,K00010
chr_3395,K06001
chr_3397,K14340
chr_3424,K22847
chr_3426,K03417
chr_3452,K09472
chr_3454,K21624
chr_3455,K22397
chr_3484,K21607
chr_3489,K00053
chr_3492,K00138
chr_3518,K09843
chr_3519,K19267
chr_3520,K10775
chr_3523,K01832
chr_3533,K00384
chr_3565,K17285
chr_3610,K01720
chr_3613,K00549
chr_3616,K13941
chr_3618,K14755
chr_3626,K13037
chr_3667,K00166
chr_3668,K00167
chr_3731,K11779
chr_3736,K00320
chr_3746,K15013
chr_3749,K20035
chr_3771,K16171
chr_3826,K00004
chr_3858,K17689
chr_3859,K08232
chr_3871,K01455
chr_3972,K15736
chr_3979,K22934
chr_3980,K14977
chr_4003,K01251
chr_4041,K01556
chr_4043,K00453
chr_4051,K00600
chr_4052,K00303
chr_4053,K00304
chr_4054,K00302
chr_4055,K00305
chr_4064,K01752
chr_4065,K01433
chr_4081,K16869
chr_4094,K01560
chr_4095,K06048
chr_4111,K00451
chr_4113,K01555
chr_4114,K05349
chr_4150,K12251
chr_4151,K00827
chr_4152,K01464
chr_4161,K00570
chr_4162,K01681
chr_4167,K01719
chr_4168,K00363
chr_4169,K00362
chr_4170,K22567
chr_4171,K00372
chr_4185,K00208
chr_4186,K01772
chr_4196,K00137
chr_4200,K12972
chr_4202,K01799
chr_4237,K01191
chr_4276,K00024
chr_4320,K08963
chr_4321,K09880
chr_4322,K08964
chr_4323,K08967
chr_4340,K06153
chr_4345,K03800
chr_4359,K07009
chr_4360,K23393
chr_4366,K00124
chr_4367,K00123
chr_4374,K02613
chr_4375,K02612
chr_4376,K02611
chr_4377,K02610
chr_4378,K02609
chr_4379,K02618
chr_4380,K02614
chr_4381,K01912
chr_4384,K02291
chr_4399,K01039
chr_4401,K06446
chr_4403,K18291
chr_4416,K01666
chr_4422,K00279
chr_4447,K01008
chr_4454,K00412
chr_4456,K02234
chr_4463,K00481
chr_4469,K15555
chr_4490,K00634
chr_4499,K00065
chr_4513,K00568
chr_4523,K01673
chr_4524,K03429
chr_4529,K06045
chr_4531,K02293
chr_4559,K01040
chr_4560,K00449
chr_4561,K00448
chr_4562,K01857
chr_4563,K01055
chr_4564,K01607
chr_4570,K16047
chr_4579,K07246
chr_4601,K18911
chr_4602,K07008
chr_4603,K18912
chr_4604,K01919
chr_4607,K01593
chr_4624,K00281
chr_4628,K02437
chr_4629,K08744
chr_4631,K01908
chr_4633,K12373
chr_4635,K01252
chr_4636,K02363
chr_4637,K02361
chr_4638,K00216
chr_4639,K01962
chr_4689,K17947
chr_4693,K13483
chr_4694,K11178
chr_4695,K11177
chr_4715,K22770
chr_4716,K22769
chr_4733,K00104
chr_4757,K01771
chr_4762,K00548
chr_4764,K00789
chr_4765,K00552
chr_4766,K14466
chr_4767,K01195
chr_4778,K08678
chr_4787,K07438
chr_4791,K00175
chr_4792,K00174
chr_4807,K15634
chr_4824,K00266
chr_4825,K00265
chr_4842,K15554
chr_4845,K03809
chr_4941,K09699
chr_4947,K01029
chr_4948,K01028
chr_4975,K17683
chr_4980,K01940
chr_4986,K09835
chr_5016,K02362
chr_5026,K16841
chr_5034,K05928
chr_5064,K10046
chr_5072,K01667
chr_5076,K00699
chr_5078,K13789
chr_5079,K17105
chr_5081,K03184
chr_5083,K03119
chr_5089,K20940
chr_5105,K01223
chr_5136,K00021
chr_5254,K00939
chr_5320,K23373
chr_5322,K23374
chr_5323,K23372
chr_5325,K23375
chr_5326,K21721
chr_5327,K21949
chr_5340,K01941
chr_5343,K18933
chr_5355,K13831
chr_5360,K01069
chr_5411,K08323
chr_5412,K00040
chr_5420,K00980
chr_5438,K13877
chr_5439,K01707
chr_5479,K04034
chr_5497,K00665
chr_5502,K00559
chr_5508,K05929
chr_5514,K12452
chr_5515,K07806
chr_5542,K05884
chr_5636,K05375
chr_5666,K01753
chr_5706,K15785
chr_5722,K01480
chr_5744,K00513
chr_5747,K17724
chr_5749,K18614
chr_5817,K08683
chr_5844,K13063
chr_5845,K05898
chr_5846,K06998
chr_5847,K20260
chr_6017,K14155
chr_6018,K17108
chr_6080,K02770
chr_6081,K02768
chr_6082,K00882
chr_6092,K07029
chr_6120,K00765
chr_6121,K01523
chr_6138,K03405
chr_6147,K00400
chr_6164,K06443
chr_6168,K11717
chr_6173,K14339
chr_6176,K02259
chr_6190,K01057
chr_6203,K01803
chr_6204,K00927
chr_6205,K00134
chr_6214,K17828
chr_6221,K00794
chr_6223,K00793
chr_6224,K11752
chr_6225,K01783
chr_6228,K03365
chr_6230,K00604
chr_6256,K13038
chr_6258,K00942
chr_6277,K01591
chr_6278,K01955
chr_6279,K01956
chr_6281,K01465
chr_6282,K00609
chr_6283,K02825
chr_6295,K03786
chr_6296,K01735
chr_6297,K00891
chr_6298,K01736
chr_6300,K02777
chr_6303,K02804
chr_6311,K00015
chr_6331,K01139
chr_6332,K00759
chr_6341,K08681
chr_6345,K06215
chr_6347,K00995
chr_6349,K19710
chr_6364,K09667
chr_6369,K01768
chr_6374,K00867
chr_6376,K00294
chr_6377,K00318
chr_6379,K01631
chr_6381,K00874
chr_6453,K01938
chr_6489,K01847
chr_6507,K05275
chr_6514,K00162
chr_6515,K00161
chr_6527,K06118
chr_6538,K00605
chr_6545,K05710
chr_6552,K10805
chr_6553,K00873
chr_6564,K00284
chr_6572,K01696
chr_6573,K01609
chr_6576,K01657
chr_6578,K01496
chr_6579,K02500
chr_6580,K01814
chr_6582,K02501
chr_6593,K01693
chr_6595,K00013
chr_6614,K00767
chr_6615,K00278
chr_6616,K03517
chr_6621,K13686
chr_6626,K00324
chr_6628,K00325
chr_6646,K13240
chr_6649,K01924
chr_6650,K02563
chr_6652,K01925
chr_6653,K01000
chr_6654,K01929
chr_6655,K01928
chr_6660,K03587
chr_6677,K03743
chr_6680,K00619
chr_6683,K00101
chr_6695,K03465
chr_6704,K00215
chr_6710,K11753
chr_6715,K06881
chr_6738,K02302
chr_6739,K03795
chr_6740,K06042
chr_6747,K13541
chr_6748,K00595
chr_6749,K02188
chr_6750,K05936
chr_6751,K03394
chr_6752,K02224
chr_6753,K19221
chr_6759,K03404
chr_6774,K02230
chr_6782,K00262
chr_6786,K02232
chr_6792,K03526
chr_6794,K00099
chr_6801,K07250
chr_6810,K00981
chr_6812,K09903
chr_6845,K01512
chr_6871,K00954
chr_6879,K01958
chr_6880,K20420
chr_6891,K00946
chr_6894,K01921
chr_6900,K01758
chr_6901,K00057
chr_6904,K14941
chr_6905,K00937
chr_6908,K01704
chr_6909,K01703
chr_6912,K01097
chr_6913,K01885
chr_6923,K01653
chr_6947,K04487
chr_6957,K01692
chr_6967,K00688
chr_6979,K01809
chr_6988,K05606
chr_6989,K01434
chr_6999,K05881
chr_7000,K05879
chr_7021,K01187
chr_7028,K00790
chr_7029,K00798
chr_7031,K02114
chr_7032,K02112
chr_7033,K02115
chr_7034,K02111
chr_7035,K02113
chr_7037,K02110
chr_7038,K02108
chr_7040,K02851
chr_7042,K05714
chr_7048,K00872
chr_7050,K00003
chr_7051,K01586
chr_7096,K11473
chr_7097,K11472
chr_7105,K00255
chr_7106,K01796
chr_7140,K16306
chr_7159,K00259
chr_7167,K00060
chr_7168,K00639
chr_7171,K01468
chr_7172,K05603
chr_7174,K01712
chr_7175,K01745
chr_7183,K00029
chr_7184,K01790
chr_7210,K00800
chr_7211,K06949
chr_7215,K00635
chr_7234,K01840
chr_7242,K11212
chr_7246,K00966
chr_7248,K16870
chr_7254,K00067
chr_7255,K01710
chr_7261,K01588
chr_7262,K01589
chr_7268,K05602
chr_7279,K08260
chr_7280,K01640
chr_7282,K03524
chr_7305,K00864
chr_7309,K01476
chr_7311,K00064
chr_7317,K18334
chr_7330,K22935
chr_7331,K20862
chr_7346,K03783
chr_7354,K00761
chr_7360,K00148
chr_7377,K01619
chr_7386,K01488
chr_7388,K00758
chr_7390,K01489
chr_7395,K00241
chr_7396,K00242
chr_7400,K07258
chr_7409,K00529
chr_7439,K00031
chr_7457,K01491
chr_7469,K01438
chr_7476,K00602
chr_7477,K11175
chr_7480,K01902
chr_7481,K01903
chr_7493,K04093
chr_7494,K00019
chr_7513,K01951
chr_7514,K00088
chr_7533,K01466
chr_7534,K00865
chr_7535,K01608
chr_7536,K00042
chr_7537,K01816
chr_7541,K07127
chr_7542,K00365
chr_7548,K01638
chr_7553,K01775
chr_7565,K03431
chr_7657,K00812
chr_7667,K00973
chr_7673,K00343
chr_7674,K00342
chr_7675,K00341
chr_7676,K00340
chr_7677,K00339
chr_7678,K00338
chr_7679,K00337
chr_7680,K00336
chr_7681,K00335
chr_7682,K00334
chr_7683,K00333
chr_7684,K00332
chr_7685,K00331
chr_7686,K00330
chr_7692,K03183
chr_7698,K01851
chr_7700,K02551
chr_7701,K01661
chr_7702,K01911
chr_7703,K02548
chr_7715,K01845
chr_7723,K01698
chr_7730,K13542
chr_7731,K01749
chr_7732,K02492
chr_7744,K00286
chr_7753,K01834
chr_7765,K00075
chr_7780,K14267
chr_7790,K07816
chr_7799,K11410
chr_7800,K01968
chr_7801,K01969
chr_7912,K02619
chr_7918,K01933
chr_7919,K00764
chr_7928,K00054
chr_7941,K23269
chr_7942,K23265
chr_7943,K23264
chr_7949,K01923
chr_7951,K01756
chr_7961,K01620
chr_7968,K01945
chr_7972,K01939
chr_7978,K01624
chr_7982,K01443
chr_7987,K00762
chr_8020,K01494
chr_8058,K01240
chr_8081,K12960
chr_8174,K01858
chr_8198,K00232
chr_8218,K05825
