orf_name,KO number,R number
chr_1024,K01724,R04734
chr_1041,K00674,R04365
chr_1047,K01439,R02734
chr_1058,K15866,R09837; R09839
chr_1061,K01255,R00899; R04951
chr_1077,K00374,R00798; R01106; R09497
chr_1079,K00371,R00798; R01106; R09497
chr_1080,K00370,R00798; R01106; R09497
chr_1081,K02575,
chr_1124,K13381,R01206; R02334
chr_1140,K03426,R00103; R03004; R11104
chr_1168,K00943,R02094; R02098
chr_1182,K00020,R05066
chr_1185,K01042,R08219
chr_1195,K00059,R02767; R04533; R04534; R04536; R04543; R04566; R04953; R04964; R07763; R10116; R10120; R11671
chr_1215,K00387,R00533
chr_1225,K03781,R00009; R00602; R02670
chr_1238,K17690,R02356; R03408; R08286; R08287; R08390; R08391; R08392; R09404; R09408
chr_1247,K00239,R02164
chr_1248,K00240,R02164
chr_1254,K02274,
chr_1255,K01079,R00582
chr_1265,K08281,R01268
chr_1266,K00763,R01724
chr_1278,K01053,R01519; R02933; R03751
chr_1280,K01776,R00260
chr_1283,K01519,R00720; R02720; R03531; R08243
chr_1290,K00156,R03145
chr_1300,K16329,R01055
chr_1302,K15777,R08836
chr_1310,K01451,R01424
chr_1322,K07141,R11582
chr_1324,K01487,R01676
chr_1327,K13479,R01768; R02103
chr_1329,K01581,R00670
chr_1330,K01611,R00178
chr_1333,K00852,R01051; R02750
chr_1341,K01687,R01209; R04441; R05070
chr_1343,K00525,R02017; R02018; R02019; R02024
chr_1355,K03707,R02133; R09993
chr_1362,K04780,
chr_1369,K02257,R07411
chr_1407,K18292,R00237
chr_1408,K18289,R02407; R03154
chr_1411,K01426,R02540; R03096; R03180; R03909; R05551; R05590
chr_1428,K15371,R00243
chr_1448,K01256,R00899; R04951
chr_1458,K01808,R01056; R09030
chr_1485,K11754,R00942; R02237; R04241
chr_1493,K00940,R00124; R00139; R00156; R00330; R00331; R00570; R00722; R01137; R01857; R02093; R02326; R02331; R03530; R11894; R11895; R12853
chr_1500,K01049,R01026
chr_1508,K00931,R00239
chr_1516,K00147,R03313
chr_1519,K00969,R00137; R03005
chr_1525,K01733,R01466; R05086
chr_1534,K00052,R00994; R04426; R10052
chr_1536,K01637,R00409; R00479
chr_1539,K00459,R00025
chr_1549,K00140,R00705; R00706; R00922; R00935
chr_1551,K05605,R03158; R05064
chr_1562,K00955,R00509; R00529; R04928; R04929
chr_1563,K00957,R00529; R04929
chr_1564,K00390,R02021
chr_1566,K00392,R00859; R03600
chr_1584,K00806,R06447
chr_1593,K01129,R01856
chr_1621,K12349,R01494; R06518; R06528
chr_1670,K18472,R00742; R01859; R04386
chr_1671,K09458,R02768; R04355; R04726; R04952; R04957; R04960; R04963; R04968; R07762; R10115; R10119
chr_1672,K02078,R12049
chr_1673,K00648,R10707
chr_1674,K00645,R01626; R11671
chr_1681,K00163,R00014; R00209; R01699; R03270
chr_1697,K13787,R01658; R02003; R02061
chr_1702,K01626,R01826
chr_1731,K07160,R00251
chr_1732,K23123,R00251
chr_1748,K02227,R06529; R07302
chr_1755,K22316,R04594
chr_1770,K00606,R01226
chr_1771,K01713,R00691; R01373
chr_1778,K01916,R00189
chr_1780,K01915,R00253
chr_1789,K03644,R07767; R12423; R12424
chr_1793,K03801,R07766; R07769; R12427; R12428
chr_1795,K00627,R00209; R02569
chr_1796,K00382,R00209; R01210; R01221; R01651; R01698; R01933; R03171; R03815; R07618; R08549
chr_1803,K00826,R01090; R01214; R02199; R08622; R08626; R10991
chr_1804,K02233,R05223; R11174
chr_1805,K00768,R04148
chr_1806,K02231,R05221; R05222; R06558
chr_1812,K00856,R00185
chr_1813,K01176,R02108; R02112; R11262
chr_1816,K00547,R00650; R11063
chr_1821,K02275,
chr_1824,K00766,R01073
chr_1827,K02276,
chr_1828,K03889,
chr_1829,K03890,
chr_1830,K03891,
chr_1836,K01897,R00390; R01280
chr_1844,K00655,R02241; R09381
chr_1846,K00850,R00756; R03236; R03237; R03238; R03239; R04779
chr_1855,K14337,
chr_1858,K10209,R07653; R09690; R09719; R09744; R09745; R09746
chr_1860,K00297,R07168
chr_1877,K01625,R00470; R05605
chr_1878,K01690,R02036
chr_1889,K00791,R01122
chr_1890,K01778,R02735
chr_1907,K01784,R00291; R02984
chr_1908,K00849,R01092
chr_1910,K01011,R01931; R03105
chr_1917,K01676,R01082
chr_1938,K00886,R02187; R02189
chr_1939,K01092,R01185; R01186; R01187
chr_1943,K01520,R02100; R11896
chr_1958,K01662,R05636
chr_1963,K10527,R01975; R03026; R04170; R04737; R04738; R04739; R04740; R04741; R04743; R04744; R04745; R04746; R04748; R04749; R07889; R07890; R07893; R07894; R07897; R07898
chr_1964,K07513,R00238; R00927; R01177; R03778; R03858; R03991; R04546; R04742; R04747; R07891; R07895; R07899; R07937; R07953
chr_1970,K01599,R03197; R04972
chr_1971,K00231,R03222; R04178
chr_1972,K00435,R11522
chr_1987,K00077,R02472
chr_2000,K00819,R00667
chr_2001,K07404,R02035
chr_2017,K00074,R01976; R05576; R06941
chr_2021,K01563,R05284; R05367; R05368; R05369; R05370; R07669; R07670
chr_2026,K00252,R02487; R02488; R10074
chr_2034,K16044,R09954
chr_2036,K01621,R00761; R01621
chr_2037,K00925,R00315; R01353
chr_2050,K05913,R01305
chr_2052,K01474,R03187
chr_2053,K01473,R03187
chr_2079,K00008,R00875; R01896
chr_2090,K04123,R06294; R06295; R06296; R06297; R10067
chr_2122,K01596,R00431; R00726
chr_2147,K18277,R05623
chr_2158,K01782,R01975; R03026; R03045; R03276; R04137; R04170; R04203; R04204; R04224; R04737; R04738; R04739; R04740; R04741; R04744; R04745; R04746; R04748; R04749; R05305; R06411; R06412; R06941; R06942; R08093; R08094
chr_2160,K00823,R00908; R01648
chr_2164,K00128,R00264; R00631; R00710; R00904; R01752; R01986; R02549; R02678; R02940; R02957; R03283; R03869; R04065; R04506; R04903; R05050; R05237; R05238; R05286; R06366; R08146
chr_2180,K19222,R07262
chr_2192,K00859,R00130
chr_2198,K09838,R06946; R06947; R10070
chr_2222,K00249,R01175; R01279; R02661; R03172; R03777; R03857; R03990; R04095; R04751; R04754
chr_2224,K20866,R00947
chr_2235,K00108,R01025
chr_2237,K00130,R02565; R02566
chr_2250,K00276,R02382; R02529; R02613; R03139; R04027; R04300; R06154; R06740
chr_2253,K01580,R00261; R00489; R01682; R02466
chr_2259,K19709,R01179; R01359; R07832
chr_2262,K01715,R03026
chr_2263,K22540,R04428; R04535; R04537; R04544; R04568; R04954; R04965; R10208
chr_2265,K00001,R00623; R00754; R02124; R04805; R04880; R05233; R05234; R06917; R06927; R07105; R08281; R08306; R08310
chr_2266,K01561,R05287
chr_2330,K15981,R11357
chr_2331,K01822,R09955
chr_2348,K17836,R06363
chr_2383,K00285,R01374; R09493
chr_2393,K00145,R03443
chr_2395,K00620,R00259; R02282
chr_2396,K00930,R02649
chr_2397,K00821,R02283; R04475
chr_2398,K00611,R01398
chr_2401,K01755,R01086
chr_2406,K06117,R00841
chr_2409,K00858,R00104
chr_2413,K01937,R00571; R00573
chr_2423,K00945,R00512; R01665
chr_2437,K00058,R01513
chr_2439,K05878,R01012
chr_2441,K01628,R02262; R12696
chr_2448,K01823,R01123
chr_2449,K14677,R00669; R10553
chr_2453,K21061,R11428
chr_2454,K10814,R00374; R05704
chr_2455,K22549,R11428
chr_2456,K21062,R02280
chr_2457,K22548,R04374
chr_2486,K17940,R10467
chr_2512,K04091,R07210; R10206
chr_2514,K18121,R00465; R01392; R09281
chr_2528,K00299,R05706; R07210; R10206
chr_2533,K11263,R00742; R01859; R04385; R13256
chr_2554,K00615,R01067; R01641; R01830; R06590
chr_2556,K12256,R08714
chr_2567,K14733,R06398; R09385; R09389; R09393
chr_2595,K00114,R05062; R05198; R05285
chr_2612,K01574,R01366
chr_2616,K22468,
chr_2618,K13481,R01768; R02103
chr_2620,K00087,R01768; R02103
chr_2622,K11262,R00742; R04385; R04386
chr_2646,K01194,R00010
chr_2655,K03271,R05645; R09768; R09769
chr_2664,K06281,R08034
chr_2665,K06282,R08034
chr_2746,K02364,R07644
chr_2750,K18009,R03707; R09078; R10505
chr_2770,K03651,R00191
chr_2777,K03782,R00602; R00698; R02596; R02670; R03919; R04007; R07443; R11906
chr_2818,K01935,R03182; R12933; R12934
chr_2819,K00652,R03210; R10124
chr_2820,K00833,R03231
chr_2821,K01012,R01078
chr_2823,K13015,R00421
chr_2829,K13017,R10141
chr_2844,K23124,R00251
chr_2851,K00135,R00713; R00714; R02401
chr_2858,K01695,R00674; R02340; R02722
chr_2880,K00622,R07940; R08036; R08248; R08250; R11902
chr_2881,K22270,R02589
chr_2882,K11646,R08569
chr_2900,K15639,R09761; R09762
chr_2902,K06016,R00905; R04666
chr_2909,K13875,R02522
chr_2934,K01428,R00131; R13420
chr_2935,K01429,R00131; R13420
chr_2936,K14048,R00131; R13420
chr_2953,K19548,R10917
chr_2964,K14731,R03751; R06390; R06391; R06392; R06393
chr_2976,K13566,R00269; R00348
chr_3028,K00830,R00369; R00372; R00585; R00588
chr_3042,K14187,R01715; R01728
chr_3043,K13950,R01716
chr_3053,K03856,R01826
chr_3064,K00485,R08266; R12959
chr_3081,K02170,R09725
chr_3084,K02858,R07281
chr_3089,K19266,R01446
chr_3093,K01738,R00897; R03601; R04859; R07274
chr_3109,K03367,R02718; R12812; R12863; R12867; R12871; R12873; R12875; R12904
chr_3110,K01841,R00661
chr_3119,K04022,R00754
chr_3122,K08322,R10848
chr_3166,K14938,R11007; R11008
chr_3168,K00787,R01658; R02003
chr_3187,K00804,R01658; R02003; R02061
chr_3195,K00616,R01827; R08575
chr_3196,K01810,R00771; R02739; R02740; R03321; R13199
chr_3198,K00036,R00835; R02736; R10907
chr_3211,K01904,R01616; R01943; R02194; R02221; R02255; R06583
chr_3214,K13238,R04756
chr_3260,K00121,R00623; R00754; R02124; R04880; R05233; R05234; R06917; R06927; R06983; R07105; R08281; R08306; R08310
chr_3263,K00528,R10159
chr_3274,K01114,R01312; R02027; R02052; R03332; R07381
chr_3284,K04788,
chr_3289,K04787,
chr_3290,K12240,
chr_3292,K12241,
chr_3307,K03366,R02855; R02946; R03707; R09078; R10505
chr_3309,K16842,R02425
chr_3313,K01639,R01811; R12768
chr_3317,K00274,R02173; R02382; R02529; R02532; R02613; R02908; R02919; R04025; R04300; R04674; R04890; R04893; R04894; R04907; R04908; R08346; R08347; R08348; R11354
chr_3335,K01652,R00006; R00014; R00226; R03050; R04672; R04673; R08648
chr_3344,K11517,R00475
chr_3347,K01630,R02754; R03277
chr_3352,K01034,R01179; R01359; R01365; R07832
chr_3355,K02160,R00742
chr_3356,K01961,R00742; R04385
chr_3363,K09841,R06954
chr_3364,K14652,R00425; R07281
chr_3382,K00010,R01183; R09951
chr_3395,K06001,R00674; R02340; R02722
chr_3397,K14340,
chr_3424,K22847,R12092
chr_3426,K03417,R00409
chr_3452,K09472,R07417; R07418
chr_3454,K21624,R11625
chr_3455,K22397,R01782
chr_3484,K21607,R11585
chr_3489,K00053,R03051; R04439; R04440; R05068; R05069; R05071
chr_3492,K00138,R00711
chr_3518,K09843,R07202
chr_3519,K19267,R02964; R03643; R03816
chr_3520,K10775,R00697
chr_3523,K01832,R02268
chr_3533,K00384,R02016; R03596; R09372
chr_3565,K17285,R01851
chr_3610,K01720,R04424
chr_3613,K00549,R04405; R09365
chr_3616,K13941,R03066; R03067; R03503
chr_3618,K14755,R00910; R00912; R01164; R01991; R03286
chr_3626,K13037,R11064
chr_3667,K00166,R01210; R01651; R01701; R01702; R03171; R04225; R07599; R07600; R07601; R07602; R07603; R07604; R10996; R10997
chr_3668,K00167,R01210; R01651; R01701; R01702; R03171; R04225; R07599; R07600; R07601; R07602; R07603; R07604; R10996; R10997
chr_3731,K11779,R12161; R12162
chr_3736,K00320,R04464
chr_3746,K15013,R00390; R01280
chr_3749,K20035,R11130
chr_3771,K16171,R01364
chr_3826,K00004,R02855; R02946; R10504
chr_3858,K17689,R02356; R03408; R05727; R07000; R07001; R07055; R07056; R07079; R07080; R07081; R07085; R07087; R08256; R08257; R08264; R08268; R08269; R08271; R08272; R08274; R08275; R08276; R08277; R08285; R08286; R08287; R08293; R08294; R08303; R08304; R08312; R08313; R08318; R08339; R08340; R08341; R08342; R08343; R08390; R08391; R08392; R09404; R09408; R09423
chr_3859,K08232,R00095
chr_3871,K01455,R00524
chr_3972,K15736,R12217
chr_3979,K22934,R00010
chr_3980,K14977,R05554
chr_4003,K01251,R00192
chr_4041,K01556,R00987; R02668; R03936
chr_4043,K00453,R00678
chr_4051,K00600,R00945; R09099
chr_4052,K00303,R00610; R12967
chr_4053,K00304,R00610; R12967
chr_4054,K00302,R00610; R12967
chr_4055,K00305,R00610; R12967
chr_4064,K01752,R00220; R00590
chr_4065,K01433,R00944
chr_4081,K16869,R12425; R12432
chr_4094,K01560,R05287
chr_4095,K06048,R00894
chr_4111,K00451,R02519
chr_4113,K01555,R01364
chr_4114,K05349,R00026; R00306; R02558; R02887; R02985; R03527; R04949; R04998; R10035; R10039; R10040; R13051; R13052; R13065; R13081
chr_4150,K12251,R01152
chr_4151,K00827,R00369; R00372; R02050; R10992
chr_4152,K01464,R02269; R03055; R08227
chr_4161,K00570,R01320; R02056; R03424
chr_4162,K01681,R01324; R01325; R01900
chr_4167,K01719,R03165
chr_4168,K00363,R00787
chr_4169,K00362,R00787
chr_4170,K22567,R02000
chr_4171,K00372,R00798; R01106
chr_4185,K00208,R01403; R01404; R04429; R04430; R04724; R04725; R04955; R04956; R04958; R04959; R04961; R04962; R04966; R04967; R04969; R04970; R07765; R10118; R10122; R11671
chr_4186,K01772,R00310; R11329
chr_4196,K00137,R02549; R12215
chr_4200,K12972,R00465; R01388; R01392; R02527
chr_4202,K01799,R01087
chr_4237,K01191,
chr_4276,K00024,R00342; R07136
chr_4320,K08963,R04420
chr_4321,K09880,R07395
chr_4322,K08964,R07392
chr_4323,K08967,R07363; R07364
chr_4340,K06153,R05627
chr_4345,K03800,R07770; R07771; R11143; R12429; R12433; R12434; R12449
chr_4359,K07009,R05030
chr_4360,K23393,R05030
chr_4366,K00124,R00519
chr_4367,K00123,R00519
chr_4374,K02613,R09838
chr_4375,K02612,R09838
chr_4376,K02611,R09838
chr_4377,K02610,R09838
chr_4378,K02609,R09838
chr_4379,K02618,R09820; R09836
chr_4380,K02614,R09840
chr_4381,K01912,R02539
chr_4384,K02291,R02065; R04218; R07270; R10177
chr_4399,K01039,R04000; R05509
chr_4401,K06446,R06943
chr_4403,K18291,R02491
chr_4416,K01666,R00750
chr_4422,K00279,R05708
chr_4447,K01008,R03595
chr_4454,K00412,
chr_4456,K02234,
chr_4463,K00481,R01298
chr_4469,K15555,
chr_4490,K00634,R01174
chr_4499,K00065,R01542
chr_4513,K00568,R04988; R08769; R12657
chr_4523,K01673,R00132; R10092
chr_4524,K03429,R02689; R04377; R12898; R12899
chr_4529,K06045,R07322; R07323
chr_4531,K02293,R04786; R04787; R07510; R09652; R09653; R09654
chr_4559,K01040,R04000; R05509
chr_4560,K00449,R01631; R03549
chr_4561,K00448,R01631; R03549
chr_4562,K01857,R03307
chr_4563,K01055,R02991
chr_4564,K01607,R03470
chr_4570,K16047,R09819
chr_4579,K07246,R00215; R01751; R02545; R06180
chr_4601,K18911,R01169
chr_4602,K07008,R11021
chr_4603,K18912,R11013
chr_4604,K01919,R00894; R10993
chr_4607,K01593,R00685; R00699; R00736; R02080; R02701; R04909
chr_4624,K00281,R01221; R03425
chr_4628,K02437,R01221
chr_4629,K08744,R02030
chr_4631,K01908,R00925; R00926; R01354
chr_4633,K12373,R00022; R03492; R04184; R04586; R05963; R06001; R06004; R07809; R07810; R11316; R12963
chr_4635,K01252,R03037; R07644
chr_4636,K02363,R07644
chr_4637,K02361,R01717
chr_4638,K00216,R01505
chr_4639,K01962,R00742; R04386
chr_4689,K17947,R10279
chr_4693,K13483,R01768; R02103
chr_4694,K11178,R01768; R02103
chr_4695,K11177,R01768; R02103
chr_4715,K22770,R12048
chr_4716,K22769,R12048
chr_4733,K00104,R00475; R00476
chr_4757,K01771,R03332
chr_4762,K00548,R00946; R09365
chr_4764,K00789,R00177; R04771
chr_4765,K00552,R00367
chr_4766,K14466,R09279
chr_4767,K01195,R01478; R04979; R07818; R08127; R08260; R10830
chr_4778,K08678,R01384
chr_4787,K07438,R03610; R11324
chr_4791,K00175,R01196; R01197
chr_4792,K00174,R01196; R01197
chr_4807,K15634,R01518
chr_4824,K00266,R00114; R00248
chr_4825,K00265,R00114; R00248
chr_4842,K15554,
chr_4845,K03809,R02964; R03643; R03816
chr_4941,K09699,R01210; R01651; R02662; R03171; R03174; R04097; R10998
chr_4947,K01029,R00410
chr_4948,K01028,R00410
chr_4975,K17683,R07000; R07001; R07945; R08225; R08324; R08325; R08326; R08327; R08390; R08391; R08392; R09408; R09421; R09423; R09424; R09425
chr_4980,K01940,R01954
chr_4986,K09835,R07512
chr_5016,K02362,R01625; R07644
chr_5026,K16841,R03925
chr_5034,K05928,R07236; R07504; R10491; R10492
chr_5064,K10046,R00889; R07672; R07673
chr_5072,K01667,R00673
chr_5076,K00699,R01383; R02358; R02389; R02478; R02502; R02902; R03091; R04352; R04353; R04354; R04683; R07106; R08259; R08261; R08262; R08263; R08615; R09426; R09427; R09428
chr_5078,K13789,R01658; R02003; R02061
chr_5079,K17105,R04520
chr_5081,K03184,R12067
chr_5083,K03119,R05320
chr_5089,K20940,R11346; R11578
chr_5105,K01223,R00839; R05133; R05134
chr_5136,K00021,R02082
chr_5254,K00939,R00127; R01547; R11319
chr_5320,K23373,R12309
chr_5322,K23374,R12311
chr_5323,K23372,R12308
chr_5325,K23375,R12312
chr_5326,K21721,R11655
chr_5327,K21949,R11705
chr_5340,K01941,R00774
chr_5343,K18933,R00489; R00736
chr_5355,K13831,R05338; R05339; R09780
chr_5360,K01069,R01736
chr_5411,K08323,R05606
chr_5412,K00040,R02454
chr_5420,K00980,R00856
chr_5438,K13877,R00264
chr_5439,K01707,R02279
chr_5479,K04034,R06268; R06269; R06270
chr_5497,K00665,R01404; R01624; R01626; R01706; R04355; R04428; R04430; R04533; R04534; R04535; R04536; R04537; R04543; R04544; R04566; R04568; R04725; R04726; R04952; R04953; R04954; R04956; R04957; R04959; R04960; R04962; R04963; R04964; R04965; R04967; R04968; R04970; R05188; R08159
chr_5502,K00559,R04427; R07481
chr_5508,K05929,R02037; R06868; R06869
chr_5514,K12452,R03391; R03392
chr_5515,K07806,R07659
chr_5542,K05884,R07136
chr_5636,K05375,R10880
chr_5666,K01753,R00221
chr_5706,K15785,R06977
chr_5722,K01480,R01157
chr_5744,K00513,R02213; R02838; R03326; R03784; R03849; R04675
chr_5747,K17724,R02243
chr_5749,K18614,R01649
chr_5817,K08683,R04203
chr_5844,K13063,R08956
chr_5845,K05898,R09884
chr_5846,K06998,R09707
chr_5847,K20260,R11493; R11568; R11569
chr_6017,K14155,R00782; R01286; R02408; R04941; R12188
chr_6018,K17108,R01498; R13178
chr_6080,K02770,R03232
chr_6081,K02768,R03232
chr_6082,K00882,R02071; R13203
chr_6092,K07029,R02240
chr_6120,K00765,R01071
chr_6121,K01523,R04035
chr_6138,K03405,R03877
chr_6147,K00400,
chr_6164,K06443,R03824; R04801; R05341; R06962; R07856
chr_6168,K11717,R03599; R11528
chr_6173,K14339,
chr_6176,K02259,R07412
chr_6190,K01057,R02035
chr_6203,K01803,R01015
chr_6204,K00927,R01512
chr_6205,K00134,R01061
chr_6214,K17828,R01869
chr_6221,K00794,R04457
chr_6223,K00793,R00066
chr_6224,K11752,R03458; R03459
chr_6225,K01783,R01529
chr_6228,K03365,R00974; R01411; R02922
chr_6230,K00604,R03940
chr_6256,K13038,R03269; R04231
chr_6258,K00942,R00332; R02090; R12852
chr_6277,K01591,R00965
chr_6278,K01955,R00256; R00575; R01395; R10948; R10949
chr_6279,K01956,R00256; R00575; R01395; R10948; R10949
chr_6281,K01465,R01993
chr_6282,K00609,R01397
chr_6283,K02825,R00966
chr_6295,K03786,R03084
chr_6296,K01735,R03083
chr_6297,K00891,R02412
chr_6298,K01736,R01714
chr_6300,K02777,R02738; R02780; R04111; R04394; R05132; R05199; R08559
chr_6303,K02804,R05199
chr_6311,K00015,R00717; R01388
chr_6331,K01139,R00336; R00429
chr_6332,K00759,R00190; R04378
chr_6341,K08681,R07456; R10089
chr_6345,K06215,R07456; R10089
chr_6347,K00995,R01801
chr_6349,K19710,R00126; R01618
chr_6364,K09667,R09304; R09676
chr_6369,K01768,R00089; R00434
chr_6374,K00867,R02971; R03018; R04391
chr_6376,K00294,R00245; R00707; R00708; R04444; R04445; R05051; R13148
chr_6377,K00318,R01253
chr_6379,K01631,R01064
chr_6381,K00874,R01541
chr_6453,K01938,R00943
chr_6489,K01847,R00833
chr_6507,K05275,R01708
chr_6514,K00162,R00014; R00209; R01699; R03270
chr_6515,K00161,R00014; R00209; R01699; R03270
chr_6527,K06118,R05775
chr_6538,K00605,R01221; R02300; R04125
chr_6545,K05710,R06782; R06783
chr_6552,K10805,R01274
chr_6553,K00873,R00200; R00430; R01138; R01858; R02320
chr_6564,K00284,R00021; R10086
chr_6572,K01696,R00674; R02340; R02722
chr_6573,K01609,R03508
chr_6576,K01657,R00985; R00986
chr_6578,K01496,R04037
chr_6579,K02500,R04558
chr_6580,K01814,R04640
chr_6582,K02501,R04558
chr_6593,K01693,R03457
chr_6595,K00013,R01158; R01163; R03012
chr_6614,K00767,R03348
chr_6615,K00278,R00357; R00481
chr_6616,K03517,R04292
chr_6621,K13686,
chr_6626,K00324,R13176
chr_6628,K00325,R13176
chr_6646,K13240,R00111; R00557; R00558
chr_6649,K01924,R03193
chr_6650,K02563,R05032; R05662; R06173; R06174
chr_6652,K01925,R02783
chr_6653,K01000,R05629; R05630
chr_6654,K01929,R04573; R04617
chr_6655,K01928,R02788
chr_6660,K03587,
chr_6677,K03743,R02322
chr_6680,K00619,R00259
chr_6683,K00101,R00196
chr_6695,K03465,R06613
chr_6704,K00215,R04198; R04199
chr_6710,K11753,R00161; R00549
chr_6715,K06881,R00188; R00508
chr_6738,K02302,R02864; R03194; R03947
chr_6739,K03795,R05807
chr_6740,K06042,R05177; R05814
chr_6747,K13541,R05180; R05809; R07772; R11580
chr_6748,K00595,R05149; R07774; R07775
chr_6749,K02188,R07773
chr_6750,K05936,R05181; R05810
chr_6751,K03394,R03948; R05808
chr_6752,K02224,R05224; R05815
chr_6753,K19221,R01492; R05220; R07268; R12184
chr_6759,K03404,R03877
chr_6774,K02230,R05227
chr_6782,K00262,R00248
chr_6786,K02232,R05225
chr_6792,K03526,R08689; R10859
chr_6794,K00099,R05688
chr_6801,K07250,R00908; R01648; R02274; R04188
chr_6810,K00981,R01799
chr_6812,K09903,R00158
chr_6845,K01512,R00317; R01421; R01515
chr_6871,K00954,R03035
chr_6879,K01958,R00344
chr_6880,K20420,R10796
chr_6891,K00946,R00617
chr_6894,K01921,R01150
chr_6900,K01758,R00782; R01001; R02408; R04770; R04930; R09366
chr_6901,K00057,R00842; R00844
chr_6904,K14941,R09397; R12646
chr_6905,K00937,
chr_6908,K01704,R03896; R03898; R03968; R04001; R10170
chr_6909,K01703,R03896; R03898; R03968; R04001; R08620; R08624; R08628; R08634; R08641; R08645; R10170
chr_6912,K01097,R01805
chr_6913,K01885,R05578
chr_6923,K01653,R00006; R00014; R00226; R03050; R04672; R04673; R08648
chr_6947,K04487,R07460; R11528; R11529
chr_6957,K01692,R03026; R03045; R04137; R04170; R04204; R04224; R04738; R04740; R04744; R04746; R04749; R05595; R06411; R06412; R06942; R08093
chr_6967,K00688,R02111
chr_6979,K01809,R00772; R01819
chr_6988,K05606,R02765; R09979
chr_6989,K01434,R02170
chr_6999,K05881,R01012
chr_7000,K05879,R01012
chr_7021,K01187,R00028; R00801; R00802; R06087; R06088
chr_7028,K00790,R00660
chr_7029,K00798,R01492; R05220; R07268; R12184
chr_7031,K02114,
chr_7032,K02112,
chr_7033,K02115,
chr_7034,K02111,
chr_7035,K02113,
chr_7037,K02110,
chr_7038,K02108,
chr_7040,K02851,R08856; R10137; R12075; R12859
chr_7042,K05714,R02603; R06789
chr_7048,K00872,R01771
chr_7050,K00003,R01773; R01775
