orf_name,Class D,Class C,Class B,Class A
chr_32,"K20074  prpC, phpP; PPM family protein phosphatase",01009 Protein phosphatases and associated proteins,Protein families: metabolism,Brite Hierarchies
chr_42,"K05888  K05888; L-gulono-1,4-lactone dehydrogenase",99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_46,K07486  K07486; transposase,99976 Replication and repair,Unclassified: genetic information processing,Not Included in Pathway or Brite
chr_54,K09796  pccA; periplasmic copper chaperone A,03110 Chaperones and folding catalysts,Protein families: genetic information processing,Brite Hierarchies
chr_56,"K02168  betT, betS; choline/glycine/proline betaine transport protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_63,K06607  iolS; myo-inositol catabolism protein IolS,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_64,"K00012  UGDH, ugd; UDPglucose 6-dehydrogenase",00520 Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
chr_64,"K00012  UGDH, ugd; UDPglucose 6-dehydrogenase",00053 Ascorbate and aldarate metabolism,Carbohydrate metabolism,Metabolism
chr_64,"K00012  UGDH, ugd; UDPglucose 6-dehydrogenase",00040 Pentose and glucuronate interconversions,Carbohydrate metabolism,Metabolism
chr_66,K00681  ggt; gamma-glutamyltranspeptidase / glutathione hydrolase,00430 Taurine and hypotaurine metabolism,Metabolism of other amino acids,Metabolism
chr_66,K00681  ggt; gamma-glutamyltranspeptidase / glutathione hydrolase,00480 Glutathione metabolism,Metabolism of other amino acids,Metabolism
chr_66,K00681  ggt; gamma-glutamyltranspeptidase / glutathione hydrolase,00460 Cyanoamino acid metabolism,Metabolism of other amino acids,Metabolism
chr_66,K00681  ggt; gamma-glutamyltranspeptidase / glutathione hydrolase,01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_68,"K03298  TC.DME; drug/metabolite transporter, DME family",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_73,K07304  msrA; peptide-methionine (S)-S-oxide reductase,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_75,K09165  K09165; dodecin,99982 Energy metabolism,Unclassified: metabolism,Not Included in Pathway or Brite
chr_85,"K10563  mutM, fpg; formamidopyrimidine-DNA glycosylase",03410 Base excision repair,Replication and repair,Genetic Information Processing
chr_85,"K10563  mutM, fpg; formamidopyrimidine-DNA glycosylase",03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_86,"K07704  lytS; two-component system, LytTR family, sensor histidine kinase LytS",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_86,"K07704  lytS; two-component system, LytTR family, sensor histidine kinase LytS",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_86,"K07704  lytS; two-component system, LytTR family, sensor histidine kinase LytS",01001 Protein kinases,Protein families: metabolism,Brite Hierarchies
chr_87,K04773  sppA; protease IV,01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_88,"K02477  K02477; two-component system, LytTR family, response regulator",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_92,K14393  actP; cation/acetate symporter,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_96,"K01126  E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase",00564 Glycerophospholipid metabolism,Lipid metabolism,Metabolism
chr_100,K22336  bfrB; bacterioferritin B,00860 Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_101,K01478  arcA; arginine deiminase,00220 Arginine biosynthesis,Amino acid metabolism,Metabolism
chr_111,K00425  cydA; cytochrome bd ubiquinol oxidase subunit I,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_111,K00425  cydA; cytochrome bd ubiquinol oxidase subunit I,02020 Two-component system,Signal transduction,Environmental Information Processing
chr_112,K00426  cydB; cytochrome bd ubiquinol oxidase subunit II,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_112,K00426  cydB; cytochrome bd ubiquinol oxidase subunit II,02020 Two-component system,Signal transduction,Environmental Information Processing
chr_113,"K16013  cydD; ATP-binding cassette, subfamily C, bacterial CydD",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_113,"K16013  cydD; ATP-binding cassette, subfamily C, bacterial CydD",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_114,"K07681  vraS; two-component system, NarL family, vancomycin resistance sensor histidine kinase VraS",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_114,"K07681  vraS; two-component system, NarL family, vancomycin resistance sensor histidine kinase VraS",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_114,"K07681  vraS; two-component system, NarL family, vancomycin resistance sensor histidine kinase VraS",01001 Protein kinases,Protein families: metabolism,Brite Hierarchies
chr_115,"K14979  ssrB; two-component system, LuxR family, secretion system response regulator SsrB",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_115,"K14979  ssrB; two-component system, LuxR family, secretion system response regulator SsrB",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_117,K13993  HSP20; HSP20 family protein,04141 Protein processing in endoplasmic reticulum,"Folding, sorting and degradation",Genetic Information Processing
chr_117,K13993  HSP20; HSP20 family protein,03110 Chaperones and folding catalysts,Protein families: genetic information processing,Brite Hierarchies
chr_120,K04518  pheA2; prephenate dehydratase,"00400 Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism
chr_126,"K01875  SARS, serS; seryl-tRNA synthetase",00970 Aminoacyl-tRNA biosynthesis,Translation,Genetic Information Processing
chr_126,"K01875  SARS, serS; seryl-tRNA synthetase",01007 Amino acid related enzymes,Protein families: metabolism,Brite Hierarchies
chr_126,"K01875  SARS, serS; seryl-tRNA synthetase",03016 Transfer RNA biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_134,K01446  PGRP; peptidoglycan recognition protein,99992 Structural proteins,Unclassified: signaling and cellular processes,Not Included in Pathway or Brite
chr_135,"K13671  K13671; alpha-1,2-mannosyltransferase",00571 Lipoarabinomannan (LAM) biosynthesis,Glycan biosynthesis and metabolism,Metabolism
chr_135,"K13671  K13671; alpha-1,2-mannosyltransferase",01003 Glycosyltransferases,Protein families: metabolism,Brite Hierarchies
chr_136,K01854  glf; UDP-galactopyranose mutase,00052 Galactose metabolism,Carbohydrate metabolism,Metabolism
chr_136,K01854  glf; UDP-galactopyranose mutase,00520 Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
chr_137,"K16650  glft2; galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase",00572 Arabinogalactan biosynthesis - Mycobacterium,Glycan biosynthesis and metabolism,Metabolism
chr_137,"K16650  glft2; galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase",01003 Glycosyltransferases,Protein families: metabolism,Brite Hierarchies
chr_139,K14136  K14136; decaprenyl-phosphate phosphoribosyltransferase,01006 Prenyltransferases,Protein families: metabolism,Brite Hierarchies
chr_141,K01113  phoD; alkaline phosphatase D,00790 Folate biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_141,K01113  phoD; alkaline phosphatase D,02020 Two-component system,Signal transduction,Environmental Information Processing
chr_145,"K20534  gtrB, csbB; polyisoprenyl-phosphate glycosyltransferase",01005 Lipopolysaccharide biosynthesis proteins,Protein families: metabolism,Brite Hierarchies
chr_155,K16652  dprE2; decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_156,K16653  dprE1; decaprenylphospho-beta-D-ribofuranose 2-oxidase,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_160,K11387  embC; arabinosyltransferase C,00571 Lipoarabinomannan (LAM) biosynthesis,Glycan biosynthesis and metabolism,Metabolism
chr_160,K11387  embC; arabinosyltransferase C,01003 Glycosyltransferases,Protein families: metabolism,Brite Hierarchies
chr_161,"K16649  glft1; rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase",00572 Arabinogalactan biosynthesis - Mycobacterium,Glycan biosynthesis and metabolism,Metabolism
chr_161,"K16649  glft1; rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase",01003 Glycosyltransferases,Protein families: metabolism,Brite Hierarchies
chr_162,K09691  ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_162,K09691  ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_163,K09690  ABC-2.LPSE.P; lipopolysaccharide transport system permease protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_163,K09690  ABC-2.LPSE.P; lipopolysaccharide transport system permease protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_187,"K23779  sutR; XRE family transcriptional regulator, regulator of sulfur utilization",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_193,K00817  hisC; histidinol-phosphate aminotransferase,"00400 Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism
chr_193,K00817  hisC; histidinol-phosphate aminotransferase,"00960 Tropane, piperidine and pyridine alkaloid biosynthesis",Biosynthesis of other secondary metabolites,Metabolism
chr_193,K00817  hisC; histidinol-phosphate aminotransferase,00350 Tyrosine metabolism,Amino acid metabolism,Metabolism
chr_193,K00817  hisC; histidinol-phosphate aminotransferase,00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_193,K00817  hisC; histidinol-phosphate aminotransferase,00401 Novobiocin biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_193,K00817  hisC; histidinol-phosphate aminotransferase,00340 Histidine metabolism,Amino acid metabolism,Metabolism
chr_193,K00817  hisC; histidinol-phosphate aminotransferase,01007 Amino acid related enzymes,Protein families: metabolism,Brite Hierarchies
chr_194,K01061  E3.1.1.45; carboxymethylenebutenolidase,00364 Fluorobenzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_194,K01061  E3.1.1.45; carboxymethylenebutenolidase,00361 Chlorocyclohexane and chlorobenzene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_194,K01061  E3.1.1.45; carboxymethylenebutenolidase,00623 Toluene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_195,"K01907  AACS, acsA; acetoacetyl-CoA synthetase","00280 Valine, leucine and isoleucine degradation",Amino acid metabolism,Metabolism
chr_195,"K01907  AACS, acsA; acetoacetyl-CoA synthetase",00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_195,"K01907  AACS, acsA; acetoacetyl-CoA synthetase",01004 Lipid biosynthesis proteins,Protein families: metabolism,Brite Hierarchies
chr_222,"K13633  ftrA; AraC family transcriptional regulator, transcriptional activator FtrA",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_227,K23138  CYP109; cytochrome P450 family 109,00199 Cytochrome P450,Protein families: metabolism,Brite Hierarchies
chr_229,K04517  tyrA2; prephenate dehydrogenase,"00400 Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism
chr_229,K04517  tyrA2; prephenate dehydrogenase,00401 Novobiocin biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_231,K11991  tadA; tRNA(adenine34) deaminase,03016 Transfer RNA biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_235,K07004  K07004; uncharacterized protein,99997 Function unknown,Poorly characterized,Not Included in Pathway or Brite
chr_252,K02343  dnaX; DNA polymerase III subunit gamma/tau,03440 Homologous recombination,Replication and repair,Genetic Information Processing
chr_252,K02343  dnaX; DNA polymerase III subunit gamma/tau,03430 Mismatch repair,Replication and repair,Genetic Information Processing
chr_252,K02343  dnaX; DNA polymerase III subunit gamma/tau,03030 DNA replication,Replication and repair,Genetic Information Processing
chr_252,K02343  dnaX; DNA polymerase III subunit gamma/tau,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_252,K02343  dnaX; DNA polymerase III subunit gamma/tau,03032 DNA replication proteins,Protein families: genetic information processing,Brite Hierarchies
chr_254,K09747  K09747; uncharacterized protein,99997 Function unknown,Poorly characterized,Not Included in Pathway or Brite
chr_255,K06187  recR; recombination protein RecR,03440 Homologous recombination,Replication and repair,Genetic Information Processing
chr_255,K06187  recR; recombination protein RecR,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_256,K12368  dppA; dipeptide transport system substrate-binding protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_256,K12368  dppA; dipeptide transport system substrate-binding protein,02030 Bacterial chemotaxis,Cell motility,Cellular Processes
chr_256,K12368  dppA; dipeptide transport system substrate-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_257,K12369  dppB; dipeptide transport system permease protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_257,K12369  dppB; dipeptide transport system permease protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_258,K02034  ABC.PE.P1; peptide/nickel transport system permease protein,02024 Quorum sensing,Cellular community - prokaryotes,Cellular Processes
chr_258,K02034  ABC.PE.P1; peptide/nickel transport system permease protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_259,K15583  oppD; oligopeptide transport system ATP-binding protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_259,K15583  oppD; oligopeptide transport system ATP-binding protein,02024 Quorum sensing,Cellular community - prokaryotes,Cellular Processes
chr_259,K15583  oppD; oligopeptide transport system ATP-binding protein,01501 beta-Lactam resistance,Drug resistance: antimicrobial,Human Diseases
chr_259,K15583  oppD; oligopeptide transport system ATP-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_260,K02032  ABC.PE.A1; peptide/nickel transport system ATP-binding protein,02024 Quorum sensing,Cellular community - prokaryotes,Cellular Processes
chr_260,K02032  ABC.PE.A1; peptide/nickel transport system ATP-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_264,K15268  eamA; O-acetylserine/cysteine efflux transporter,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_269,"K19802  ycjG, ykfB; L-Ala-D/L-Glu epimerase",99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_271,"K01649  leuA, IMS; 2-isopropylmalate synthase",00620 Pyruvate metabolism,Carbohydrate metabolism,Metabolism
chr_271,"K01649  leuA, IMS; 2-isopropylmalate synthase","00290 Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism
chr_292,K00928  lysC; aspartate kinase,00300 Lysine biosynthesis,Amino acid metabolism,Metabolism
chr_292,K00928  lysC; aspartate kinase,"00260 Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism
chr_292,K00928  lysC; aspartate kinase,00261 Monobactam biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_292,K00928  lysC; aspartate kinase,00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_293,K00133  asd; aspartate-semialdehyde dehydrogenase,"00260 Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism
chr_293,K00133  asd; aspartate-semialdehyde dehydrogenase,00261 Monobactam biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_293,K00133  asd; aspartate-semialdehyde dehydrogenase,00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_293,K00133  asd; aspartate-semialdehyde dehydrogenase,00300 Lysine biosynthesis,Amino acid metabolism,Metabolism
chr_296,"K09825  perR; Fur family transcriptional regulator, peroxide stress response regulator",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_300,K07485  K07485; transposase,99976 Replication and repair,Unclassified: genetic information processing,Not Included in Pathway or Brite
chr_306,K04047  dps; starvation-inducible DNA-binding protein,03036 Chromosome and associated proteins,Protein families: genetic information processing,Brite Hierarchies
chr_312,"K12309  GLB1, ELNR1; beta-galactosidase",00604 Glycosphingolipid biosynthesis - ganglio series,Glycan biosynthesis and metabolism,Metabolism
chr_312,"K12309  GLB1, ELNR1; beta-galactosidase",00600 Sphingolipid metabolism,Lipid metabolism,Metabolism
chr_312,"K12309  GLB1, ELNR1; beta-galactosidase",00531 Glycosaminoglycan degradation,Glycan biosynthesis and metabolism,Metabolism
chr_312,"K12309  GLB1, ELNR1; beta-galactosidase",00511 Other glycan degradation,Glycan biosynthesis and metabolism,Metabolism
chr_312,"K12309  GLB1, ELNR1; beta-galactosidase",00052 Galactose metabolism,Carbohydrate metabolism,Metabolism
chr_312,"K12309  GLB1, ELNR1; beta-galactosidase",04142 Lysosome,Transport and catabolism,Cellular Processes
chr_312,"K12309  GLB1, ELNR1; beta-galactosidase",04147 Exosome,Protein families: signaling and cellular processes,Brite Hierarchies
chr_315,K01303  APEH; acylaminoacyl-peptidase,01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_316,K07098  K07098; uncharacterized protein,99997 Function unknown,Poorly characterized,Not Included in Pathway or Brite
chr_317,K09117  K09117; uncharacterized protein,99997 Function unknown,Poorly characterized,Not Included in Pathway or Brite
chr_320,"K18955  whiB1_2_3_4; WhiB family transcriptional regulator, redox-sensing transcriptional regulator",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_334,"K10914  crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_334,"K10914  crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein",02026 Biofilm formation - Escherichia coli,Cellular community - prokaryotes,Cellular Processes
chr_334,"K10914  crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein",02024 Quorum sensing,Cellular community - prokaryotes,Cellular Processes
chr_334,"K10914  crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein",05111 Biofilm formation - Vibrio cholerae,Cellular community - prokaryotes,Cellular Processes
chr_334,"K10914  crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein",02025 Biofilm formation - Pseudomonas aeruginosa,Cellular community - prokaryotes,Cellular Processes
chr_334,"K10914  crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_336,K10773  NTH; endonuclease III,03410 Base excision repair,Replication and repair,Genetic Information Processing
chr_336,K10773  NTH; endonuclease III,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_341,"K03313  nhaA; Na+:H+ antiporter, NhaA family",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_342,"K01895  ACSS1_2, acs; acetyl-CoA synthetase",00640 Propanoate metabolism,Carbohydrate metabolism,Metabolism
chr_342,"K01895  ACSS1_2, acs; acetyl-CoA synthetase",00720 Carbon fixation pathways in prokaryotes,Energy metabolism,Metabolism
chr_342,"K01895  ACSS1_2, acs; acetyl-CoA synthetase",00680 Methane metabolism,Energy metabolism,Metabolism
chr_342,"K01895  ACSS1_2, acs; acetyl-CoA synthetase",00630 Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism
chr_342,"K01895  ACSS1_2, acs; acetyl-CoA synthetase",00010 Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism
chr_342,"K01895  ACSS1_2, acs; acetyl-CoA synthetase",00620 Pyruvate metabolism,Carbohydrate metabolism,Metabolism
chr_342,"K01895  ACSS1_2, acs; acetyl-CoA synthetase",01004 Lipid biosynthesis proteins,Protein families: metabolism,Brite Hierarchies
chr_345,K07106  murQ; N-acetylmuramic acid 6-phosphate etherase,00520 Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
chr_348,K21469  pbp4b; serine-type D-Ala-D-Ala carboxypeptidase,00550 Peptidoglycan biosynthesis,Glycan biosynthesis and metabolism,Metabolism
chr_348,K21469  pbp4b; serine-type D-Ala-D-Ala carboxypeptidase,01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_348,K21469  pbp4b; serine-type D-Ala-D-Ala carboxypeptidase,01011 Peptidoglycan biosynthesis and degradation proteins,Protein families: metabolism,Brite Hierarchies
chr_350,K01207  nagZ; beta-N-acetylhexosaminidase,00531 Glycosaminoglycan degradation,Glycan biosynthesis and metabolism,Metabolism
chr_350,K01207  nagZ; beta-N-acetylhexosaminidase,00520 Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
chr_350,K01207  nagZ; beta-N-acetylhexosaminidase,01501 beta-Lactam resistance,Drug resistance: antimicrobial,Human Diseases
chr_353,"K02283  cpaF, tadA; pilus assembly protein CpaF",02035 Bacterial motility proteins,Protein families: signaling and cellular processes,Brite Hierarchies
chr_353,"K02283  cpaF, tadA; pilus assembly protein CpaF",02044 Secretion system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_354,K12510  tadB; tight adherence protein B,02044 Secretion system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_360,K06877  K06877; DEAD/DEAH box helicase domain-containing protein,99996 General function prediction only,Poorly characterized,Not Included in Pathway or Brite
chr_361,K15987  hppA; K(+)-stimulated pyrophosphate-energized sodium pump,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_364,K03168  topA; DNA topoisomerase I,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_364,K03168  topA; DNA topoisomerase I,03032 DNA replication proteins,Protein families: genetic information processing,Brite Hierarchies
chr_365,K02341  holB; DNA polymerase III subunit delta',03440 Homologous recombination,Replication and repair,Genetic Information Processing
chr_365,K02341  holB; DNA polymerase III subunit delta',03030 DNA replication,Replication and repair,Genetic Information Processing
chr_365,K02341  holB; DNA polymerase III subunit delta',03430 Mismatch repair,Replication and repair,Genetic Information Processing
chr_365,K02341  holB; DNA polymerase III subunit delta',03032 DNA replication proteins,Protein families: genetic information processing,Brite Hierarchies
chr_365,K02341  holB; DNA polymerase III subunit delta',03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_391,K06194  nlpD; lipoprotein NlpD,99992 Structural proteins,Unclassified: signaling and cellular processes,Not Included in Pathway or Brite
chr_394,K22579  rph; rifampicin phosphotransferase,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_397,K01507  ppa; inorganic pyrophosphatase,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_398,K07259  dacB; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4),00550 Peptidoglycan biosynthesis,Glycan biosynthesis and metabolism,Metabolism
chr_398,K07259  dacB; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4),01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_398,K07259  dacB; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4),01011 Peptidoglycan biosynthesis and degradation proteins,Protein families: metabolism,Brite Hierarchies
chr_400,"K04075  tilS, mesJ; tRNA(Ile)-lysidine synthase",03016 Transfer RNA biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_401,"K00760  hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase",00230 Purine metabolism,Nucleotide metabolism,Metabolism
chr_401,"K00760  hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase",00983 Drug metabolism - other enzymes,Xenobiotics biodegradation and metabolism,Metabolism
