Reaction ID,Reaction (Long),Reaction (Short),Reversible,Enzyme,Genes,PATHWAY
R01132,IMP + Diphosphate <=> Hypoxanthine + 5-Phospho-alpha-D-ribose 1-diphosphate,C00130 + C00013 <=> C00262 + C00119,FALSE,2.4.2.8,chr_401,rn00230
R01229,GMP + Diphosphate <=> Guanine + 5-Phospho-alpha-D-ribose 1-diphosphate,C00144 + C00013 <=> C00242 + C00119,FALSE,2.4.2.8;2.4.2.22,chr_401,rn00230
R02142,Xanthosine 5'-phosphate + Diphosphate <=> Xanthine + 5-Phospho-alpha-D-ribose 1-diphosphate,C00655 + C00013 <=> C00385 + C00119,FALSE,2.4.2.8;2.4.2.22,chr_401,rn00230
R08237,6-Mercaptopurine + 5-Phospho-alpha-D-ribose 1-diphosphate <=> 6-Thioinosine-5'-monophosphate + Diphosphate,C02380 + C00119 <=> C04646 + C00013,FALSE,2.4.2.8,chr_401,rn00983
R08238,6-Methylmercaptopurine + 5-Phospho-alpha-D-ribose 1-diphosphate <=> 6-Methylthiopurine 5'-monophosphate ribonucleotide + Diphosphate,C16614 + C00119 <=> C16615 + C00013,FALSE,2.4.2.8,chr_401,rn00983
R08245,Thioguanine + 5-Phospho-alpha-D-ribose 1-diphosphate <=> 6-Thioguanosine monophosphate + Diphosphate,C07648 + C00119 <=> C16619 + C00013,FALSE,2.4.2.8,chr_401,rn00983
R00424,"GTP + H2O <=> 7,8-Dihydroneopterin 3'-triphosphate + Formate",C00044 + C00001 <=> C04895 + C00058,TRUE,3.5.4.16,chr_403,
R00428,GTP + H2O <=> Formamidopyrimidine nucleoside triphosphate,C00044 + C00001 <=> C05922,FALSE,3.5.4.16,chr_403,rn00790
R04639,"7,8-Dihydroneopterin 3'-triphosphate + H2O <=> 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine",C04895 + C00001 <=> C06148,FALSE,3.5.4.16,chr_403,rn00790
R05046,"Formamidopyrimidine nucleoside triphosphate + H2O <=> 2,5-Diaminopyrimidine nucleoside triphosphate + Formate",C05922 + C00001 <=> C05923 + C00058,FALSE,3.5.4.16,chr_403,rn00790
R05048,"2,5-Diaminopyrimidine nucleoside triphosphate <=> 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine",C05923 <=> C06148,FALSE,3.5.4.16,chr_403,rn00790
R03066,"6-(Hydroxymethyl)-7,8-dihydropterin + 4-Aminobenzoate <=> Dihydropteroate + H2O",C01300 + C00568 <=> C00921 + C00001,FALSE,2.5.1.15,( chr_3616 and chr_404 ),rn00790
R03067,"6-Hydroxymethyl-7,8-dihydropterin diphosphate + 4-Aminobenzoate <=> Diphosphate + Dihydropteroate",C04807 + C00568 <=> C00013 + C00921,FALSE,2.5.1.15,( chr_3616 and chr_404 ),rn00790
R03504,"7,8-Dihydroneopterin <=> Glycolaldehyde + 6-(Hydroxymethyl)-7,8-dihydropterin",C04874 <=> C00266 + C01300,FALSE,4.1.2.25,chr_405,rn00790
R11037,"7,8-Dihydroneopterin + Oxygen <=> 7,8-Dihydroxanthopterin + Formate + Glycolaldehyde",C04874 + C00007 <=> C21065 + C00058 + C00266,FALSE,1.13.11.81,chr_405,rn00790
R11073,"7,8-Dihydroneopterin <=> 7,8-Dihydromonapterin",C04874 <=> C21008,TRUE,5.1.99.8,chr_405,rn00790
R03503,"ATP + 6-(Hydroxymethyl)-7,8-dihydropterin <=> AMP + 6-Hydroxymethyl-7,8-dihydropterin diphosphate",C00002 + C01300 <=> C00020 + C04807,FALSE,2.7.6.3,( chr_3616 and chr_406 ),rn00790
R02473,ATP + (R)-Pantoate + beta-Alanine <=> AMP + Diphosphate + Pantothenate,C00002 + C00522 + C00099 <=> C00020 + C00013 + C00864,FALSE,6.3.2.1,chr_412,rn00410;rn00770
R00489,L-Aspartate <=> beta-Alanine + CO2,C00049 <=> C00099 + C00011,FALSE,4.1.1.11;4.1.1.15,( chr_2253 and chr_413 and chr_5343 ),rn00410;rn00770
R02971,ATP + Pantetheine <=> ADP + Pantetheine 4'-phosphate,C00002 + C00831 <=> C00008 + C01134,FALSE,2.7.1.33;2.7.1.34,( chr_414 and chr_6374 ),rn00770
R03018,ATP + Pantothenate <=> ADP + D-4'-Phosphopantothenate,C00002 + C00864 <=> C00008 + C03492,FALSE,2.7.1.33,( chr_414 and chr_6374 ),rn00770
R04391,ATP + N-((R)-Pantothenoyl)-L-cysteine <=> ADP + (R)-4'-Phosphopantothenoyl-L-cysteine,C00002 + C04079 <=> C00008 + C04352,FALSE,2.7.1.33,( chr_414 and chr_6374 ),rn00770
R05633,2-C-Methyl-D-erythritol 4-phosphate + CTP <=> 4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol + Diphosphate,C11434 + C00063 <=> C11435 + C00013,FALSE,2.7.7.60,chr_437,rn00900
R05637,"2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol <=> 2-C-Methyl-D-erythritol 2,4-cyclodiphosphate + CMP",C11436 <=> C11453 + C00055,FALSE,4.6.1.12,chr_438,rn00900
R06977,"L-Glutamate + L-Aspartate 4-semialdehyde <=> 2-Oxoglutarate + L-2,4-Diaminobutanoate",C00025 + C00441 <=> C00026 + C03283,FALSE,2.6.1.76,( chr_453 and chr_5706 ),rn00260
R01206,Chitin + H2O <=> N-Acetyl-D-glucosamine + Chitin,C00461 + C00001 <=> C00140 + C00461,FALSE,3.2.1.14,( chr_1124 and chr_458 ),rn00520
R02334,Chitin + H2O <=> Chitobiose + Chitin,C00461 + C00001 <=> C01674 + C00461,FALSE,3.2.1.14,( chr_1124 and chr_458 ),rn00520
R02737,"UDP-glucose + alpha-D-Glucose 6-phosphate <=> UDP + alpha,alpha'-Trehalose 6-phosphate",C00029 + C00668 <=> C00015 + C00689,FALSE,2.4.1.15,chr_472,rn00500
R11783,"ADP-glucose + D-Glucose 6-phosphate <=> ADP + alpha,alpha'-Trehalose 6-phosphate",C00498 + C00092 <=> C00008 + C00689,TRUE,2.4.1.347,chr_472,
R02778,"alpha,alpha'-Trehalose 6-phosphate + H2O <=> alpha,alpha-Trehalose + Orthophosphate",C00689 + C00001 <=> C01083 + C00009,FALSE,3.1.3.12,chr_473,rn00500
R01920,S-Adenosylmethioninamine + Putrescine <=> 5'-Methylthioadenosine + Spermidine,C01137 + C00134 <=> C00170 + C00315,FALSE,2.5.1.16,chr_478,rn00270;rn00330;rn00480
R08359,S-Adenosylmethioninamine + Cadaverine <=> 5'-Methylthioadenosine + Aminopropylcadaverine,C01137 + C01672 <=> C00170 + C16565,FALSE,2.5.1.16,chr_478,rn00480
R10147,"L-Aspartate 4-semialdehyde + Pyruvate <=> (2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate + H2O",C00441 + C00022 <=> C20258 + C00001,FALSE,4.3.3.7,chr_491,rn00261;rn00300
R00768,L-Glutamine + D-Fructose 6-phosphate <=> L-Glutamate + D-Glucosamine 6-phosphate,C00064 + C00085 <=> C00025 + C00352,FALSE,2.6.1.16,chr_495,rn00250;rn00520
R03223,4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate + 4-Methyl-5-(2-phosphooxyethyl)thiazole <=> Diphosphate + Thiamin monophosphate,C04752 + C04327 <=> C00013 + C01081,FALSE,2.5.1.3,chr_502,rn00730
R10712,4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate + 2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate <=> Thiamin monophosphate + Diphosphate + CO2,C04752 + C20247 <=> C01081 + C00013 + C00011,FALSE,2.5.1.3,chr_502,rn00730
R07463,Glycine + Oxygen <=> Iminoglycine + Hydrogen peroxide,C00037 + C00007 <=> C15809 + C00027,FALSE,1.4.3.19,chr_503,rn00730
R10247,"1-Deoxy-D-xylulose 5-phosphate + Iminoglycine + Thiocarboxy-[sulfur-carrier protein] <=> 2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate + Sulfur-carrier protein + 2 H2O",C11437 + C15809 + C15814 <=> C20246 + C15810 + 2 C00001,FALSE,2.8.1.10,chr_505,rn00730
R03471,ATP + 4-Amino-5-hydroxymethyl-2-methylpyrimidine <=> ADP + 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine,C00002 + C01279 <=> C00008 + C04556,FALSE,2.7.1.49,chr_507,rn00730
R04509,ATP + 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine <=> ADP + 4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate,C00002 + C04556 <=> C00008 + C04752,FALSE,2.7.4.7,chr_507,rn00730
R03472,Aminoimidazole ribotide + S-Adenosyl-L-methionine <=> 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine + 5'-Deoxyadenosine + L-Methionine + Formate + CO,C03373 + C00019 <=> C04556 + C05198 + C00073 + C00058 + C00237,FALSE,4.1.99.17,chr_508,rn00730
R01800,CDP-diacylglycerol + L-Serine <=> CMP + Phosphatidylserine,C00269 + C00065 <=> C00055 + C02737,FALSE,2.7.8.8,chr_513,rn00260;rn00564
R02055,Phosphatidylserine <=> Phosphatidylethanolamine + CO2,C02737 <=> C00350 + C00011,FALSE,4.1.1.65,chr_514,rn00564
R09735,Adenylated molybdopterin + Molybdate <=> Molybdoenzyme molybdenum cofactor + AMP + H2O,C19848 + C06232 <=> C18237 + C00020 + C00001,FALSE,2.10.1.1,chr_516,rn00790
R04031,"2-Succinylbenzoate + H2O <=> (1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",C02730 + C00001 <=> C05817,FALSE,4.2.1.113,chr_535,rn00130
R01764,alpha-Oxo-benzeneacetic acid <=> Benzaldehyde + CO2,C02137 <=> C00261 + C00011,FALSE,4.1.1.7,chr_541,rn00627
R02672,4-Hydroxyphenylglyoxylate <=> 4-Hydroxybenzaldehyde + CO2,C03590 <=> C00633 + C00011,FALSE,4.1.1.7,chr_541,rn00627
R00214,(S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+,C00149 + C00003 <=> C00022 + C00011 + C00004 + C00080,TRUE,1.1.1.38;1.1.1.39,chr_557,rn00620;rn00710
R11372,"(8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate + H2O <=> Precursor Z + Diphosphate",C21310 + C00001 <=> C18239 + C00013,FALSE,4.6.1.17,chr_558,rn00790
R09394,"GTP + S-Adenosyl-L-methionine + Reduced acceptor <=> (8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate + 5'-Deoxyadenosine + L-Methionine + Acceptor",C00044 + C00019 + C00030 <=> C21310 + C05198 + C00073 + C00028,FALSE,4.1.99.22,chr_563,rn00790
R02017,dADP + Thioredoxin disulfide + H2O <=> Thioredoxin + ADP,C00206 + C00343 + C00001 <=> C00342 + C00008,FALSE,1.17.4.1,( chr_1343 and chr_572 ),rn00230
R02018,dUDP + Thioredoxin disulfide + H2O <=> Thioredoxin + UDP,C01346 + C00343 + C00001 <=> C00342 + C00015,FALSE,1.17.4.1,( chr_1343 and chr_572 ),rn00240
R02019,dGDP + Thioredoxin disulfide + H2O <=> GDP + Thioredoxin,C00361 + C00343 + C00001 <=> C00035 + C00342,FALSE,1.17.4.1,( chr_1343 and chr_572 ),rn00230
R02024,dCDP + Thioredoxin disulfide + H2O <=> Thioredoxin + CDP,C00705 + C00343 + C00001 <=> C00342 + C00112,FALSE,1.17.4.1,( chr_1343 and chr_572 ),rn00240
R01334,2-Phosphoglycolate + H2O <=> Glycolate + Orthophosphate,C00988 + C00001 <=> C00160 + C00009,FALSE,3.1.3.18,chr_573,rn00630
R04173,O-Phospho-L-serine + 2-Oxoglutarate <=> 3-Phosphonooxypyruvate + L-Glutamate,C01005 + C00026 <=> C03232 + C00025,TRUE,2.6.1.52,chr_608,rn00260;rn00270;rn00680
R05085,O-Phospho-4-hydroxy-L-threonine + 2-Oxoglutarate <=> 2-Oxo-3-hydroxy-4-phosphobutanoate + L-Glutamate,C06055 + C00026 <=> C06054 + C00025,TRUE,2.6.1.52,chr_608,rn00750
R00351,Citrate + CoA <=> Acetyl-CoA + H2O + Oxaloacetate,C00158 + C00010 <=> C00024 + C00001 + C00036,TRUE,2.3.3.1;2.3.3.3;2.3.3.5;2.3.3.16,chr_610,rn00020;rn00630
R00131,Urea + H2O <=> CO2 + 2 Ammonia,C00086 + C00001 <=> C00011 + 2 C00014,TRUE,3.5.1.5,( chr_2934 and chr_2935 and chr_2936 and chr_611 ),
R13420,Urea + 2 H2O <=> HCO3- + 2 Ammonia,C00086 + 2 C00001 <=> C00288 + 2 C00014,FALSE,3.5.1.5,( chr_2934 and chr_2935 and chr_2936 and chr_611 ),rn00220;rn00230;rn00791
R00277,Pyridoxamine phosphate + H2O + Oxygen <=> Pyridoxal phosphate + Ammonia + Hydrogen peroxide,C00647 + C00001 + C00007 <=> C00018 + C00014 + C00027,FALSE,1.4.3.5,chr_612,rn00750
R00278,Pyridoxine phosphate + Oxygen <=> Hydrogen peroxide + Pyridoxal phosphate,C00627 + C00007 <=> C00027 + C00018,FALSE,1.4.3.5,chr_612,rn00750
R01710,Pyridoxamine + H2O + Oxygen <=> Pyridoxal + Ammonia + Hydrogen peroxide,C00534 + C00001 + C00007 <=> C00250 + C00014 + C00027,TRUE,1.4.3.5,chr_612,rn00750
R01711,Pyridoxine + Oxygen <=> Pyridoxal + Hydrogen peroxide,C00314 + C00007 <=> C00250 + C00027,TRUE,1.1.3.12;1.4.3.5,chr_612,rn00750
R01602,alpha-D-Glucose <=> beta-D-Glucose,C00267 <=> C00221,TRUE,5.1.3.3,chr_615,rn00010
R10619,D-Galactose <=> alpha-D-Galactose,C00124 <=> C00984,FALSE,5.1.3.3,chr_615,rn00052
R00760,ATP + D-Fructose <=> ADP + D-Fructose 6-phosphate,C00002 + C00095 <=> C00008 + C00085,FALSE,2.7.1.1;2.7.1.4,chr_618,rn00051;rn00500;rn00520
R00867,ATP + D-Fructose <=> ADP + beta-D-Fructose 6-phosphate,C00002 + C00095 <=> C00008 + C05345,TRUE,2.7.1.1;2.7.1.4,chr_618,
R03920,ATP + beta-D-Fructose <=> ADP + beta-D-Fructose 6-phosphate,C00002 + C02336 <=> C00008 + C05345,TRUE,2.7.1.1;2.7.1.4,chr_618,
R00848,sn-Glycerol 3-phosphate + FAD <=> Glycerone phosphate + FADH2,C00093 + C00016 <=> C00111 + C01352,TRUE,1.1.5.3,chr_622,rn00564
R04311,Acylglycerone phosphate + Long-chain alcohol <=> O-Alkylglycerone phosphate + Long-chain acid anion,C03372 + C00339 <=> C03715 + C03129,FALSE,2.5.1.26,chr_624,rn00565
R01351,1-Acylglycerol + H2O <=> Glycerol + Fatty acid,C01885 + C00001 <=> C00116 + C00162,FALSE,3.1.1.23,chr_633,rn00561
R10850,"UDP-glucose + 1,2-Diacyl-sn-glycerol <=> UDP + 1,2-Diacyl-3-alpha-D-glucosyl-sn-glycerol",C00029 + C00641 <=> C00015 + C06364,FALSE,2.4.1.337,chr_642,rn00561
R12902,"UDP-D-glucose + 1,2-Diacyl-sn-glycerol <=> UDP + alpha-Glc-DAG",G10608 + C00641 <=> G10619 + G13187,FALSE,2.4.1.337,chr_642,rn00552
